state_abbr,sector_abbr,year,observed_solar_mw,observed_storage_mw,observed_storage_mwh
AL,com,2014,0.68313,0.025757576,0.059090909
AR,com,2014,0.7172415,0.025757576,0.059090909
AZ,com,2014,144.6089835,0,0
CA,com,2014,825.06,2.7,5.5
CO,com,2014,78.285,0,0
CT,com,2014,33.39916,0.025757576,0.059090909
DC,com,2014,1.37615,0.025757576,0.059090909
DE,com,2014,9.805,0.071428571,0.114285714
FL,com,2014,30.83464,0,0
GA,com,2014,13.085,0.025757576,0.059090909
IA,com,2014,6.871,0.025757576,0.059090909
ID,com,2014,0.1609195,0.025757576,0.059090909
IL,com,2014,6.54175,0.025757576,0.059090909
IN,com,2014,2.549,0.025757576,0.059090909
KS,com,2014,7.960819333,0.025757576,0.059090909
KY,com,2014,0.1126435,0.071428571,0.114285714
LA,com,2014,0.4425,0.025757576,0.059090909
MA,com,2014,278.0674465,0,0
MD,com,2014,60.81533,0.071428571,0.114285714
ME,com,2014,7.960819333,0.025757576,0.059090909
MI,com,2014,3.0255,0.025757576,0.059090909
MN,com,2014,6.8775655,0.025757576,0.059090909
MO,com,2014,27.198,0.025757576,0.059090909
MS,com,2014,0.15,0.025757576,0.059090909
MT,com,2014,0.091954,0.025757576,0.059090909
NC,com,2014,49.739,0.025757576,0.059090909
ND,com,2014,7.960819333,0.025757576,0.059090909
NE,com,2014,7.960819333,0.025757576,0.059090909
NH,com,2014,0.8065,0.025757576,0.059090909
NJ,com,2014,492.39,0.25,0.15
NM,com,2014,17.7958905,0.025757576,0.059090909
NV,com,2014,31.858464,0,0
NY,com,2014,85.774089,0.05,0.3
OH,com,2014,35.925,0.071428571,0.114285714
OK,com,2014,0.052299,0.025757576,0.059090909
OR,com,2014,18.465,0.025757576,0.059090909
PA,com,2014,85.689562,0.071428571,0.114285714
RI,com,2014,0.0317085,0.025757576,0.059090909
SC,com,2014,0.182874,0.025757576,0.059090909
SD,com,2014,7.960819333,0.025757576,0.059090909
TN,com,2014,24.01924,0.025757576,0.059090909
TX,com,2014,20.8595,0,0
UT,com,2014,4.1593835,0.025757576,0.059090909
VA,com,2014,3.135,0.071428571,0.114285714
VT,com,2014,5.7635,0.025757576,0.059090909
WA,com,2014,4.575,0.025757576,0.059090909
WI,com,2014,5.75555,0.025757576,0.059090909
WV,com,2014,7.960819333,0.071428571,0.114285714
WY,com,2014,0.063793,0.025757576,0.059090909
AL,ind,2014,0.68313,0.025757576,0.059090909
AR,ind,2014,0.7172415,0.025757576,0.059090909
AZ,ind,2014,144.6089835,0,0
CA,ind,2014,825.06,2.7,5.5
CO,ind,2014,78.285,0,0
CT,ind,2014,33.39916,0.025757576,0.059090909
DC,ind,2014,1.37615,0.025757576,0.059090909
DE,ind,2014,9.805,0.071428571,0.114285714
FL,ind,2014,30.83464,0,0
GA,ind,2014,13.085,0.025757576,0.059090909
IA,ind,2014,6.871,0.025757576,0.059090909
ID,ind,2014,0.1609195,0.025757576,0.059090909
IL,ind,2014,6.54175,0.025757576,0.059090909
IN,ind,2014,2.549,0.025757576,0.059090909
KS,ind,2014,7.960819333,0.025757576,0.059090909
KY,ind,2014,0.1126435,0.071428571,0.114285714
LA,ind,2014,0.4425,0.025757576,0.059090909
MA,ind,2014,278.0674465,0,0
MD,ind,2014,60.81533,0.071428571,0.114285714
ME,ind,2014,7.960819333,0.025757576,0.059090909
MI,ind,2014,3.0255,0.025757576,0.059090909
MN,ind,2014,6.8775655,0.025757576,0.059090909
MO,ind,2014,27.198,0.025757576,0.059090909
MS,ind,2014,0.15,0.025757576,0.059090909
MT,ind,2014,0.091954,0.025757576,0.059090909
NC,ind,2014,49.739,0.025757576,0.059090909
ND,ind,2014,7.960819333,0.025757576,0.059090909
NE,ind,2014,7.960819333,0.025757576,0.059090909
NH,ind,2014,0.8065,0.025757576,0.059090909
NJ,ind,2014,492.39,0.25,0.15
NM,ind,2014,17.7958905,0.025757576,0.059090909
NV,ind,2014,31.858464,0,0
NY,ind,2014,85.774089,0.05,0.3
OH,ind,2014,35.925,0.071428571,0.114285714
OK,ind,2014,0.052299,0.025757576,0.059090909
OR,ind,2014,18.465,0.025757576,0.059090909
PA,ind,2014,85.689562,0.071428571,0.114285714
RI,ind,2014,0.0317085,0.025757576,0.059090909
SC,ind,2014,0.182874,0.025757576,0.059090909
SD,ind,2014,7.960819333,0.025757576,0.059090909
TN,ind,2014,24.01924,0.025757576,0.059090909
TX,ind,2014,20.8595,0,0
UT,ind,2014,4.1593835,0.025757576,0.059090909
VA,ind,2014,3.135,0.071428571,0.114285714
VT,ind,2014,5.7635,0.025757576,0.059090909
WA,ind,2014,4.575,0.025757576,0.059090909
WI,ind,2014,5.75555,0.025757576,0.059090909
WV,ind,2014,7.960819333,0.071428571,0.114285714
WY,ind,2014,0.063793,0.025757576,0.059090909
