year,sector_abbr,nerc_region_ID,nerc_region_abbr,nerc_region_desc,scenario,load_multiplier,sector
2014,res,5-14,SRCA,SERC Reliability Corporation / East,AEO2025 High Oil Price,1.0,Residential
2014,res,5-15,SRSE,SERC Reliability Corporation / Southeastern,AEO2025 High Oil Price,1.0,Residential
2014,com,5-25,BASN,Western Electricity Coordinating Council / Basin,AEO2025 High Oil Price,1.0,Commercial
2014,ind,5-1,TRE,Texas Reliability Entity,AEO2025 High Oil Price,1.0,Industrial
2014,res,5-16,SRCE,SERC Reliability Corporation / Central,AEO2025 High Oil Price,1.0,Residential
2014,res,5-19,SPPN,Southwest Power Pool / North,AEO2025 High Oil Price,1.0,Residential
2014,ind,5-21,CANO,Western Electricity Coordinating Council / California North,AEO2025 High Oil Price,1.0,Industrial
2014,res,5-20,SRSG,Western Electricity Coordinating Council / Southwest,AEO2025 High Oil Price,1.0,Residential
2014,res,5-18,SPPC,Southwest Power Pool / Central,AEO2025 High Oil Price,1.0,Residential
2014,ind,5-4,MISC,Midcontinent / Central,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-5,MISE,Midcontinent / East,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-2,FRCC,Florida Reliability Coordinating Council,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-3,MISW,Midcontinent / West,AEO2025 High Oil Price,1.0,Industrial
2014,res,5-21,CANO,Western Electricity Coordinating Council / California North,AEO2025 High Oil Price,1.0,Residential
2014,res,5-17,SPPS,Southwest Power Pool / South,AEO2025 High Oil Price,1.0,Residential
2014,ind,5-20,SRSG,Western Electricity Coordinating Council / Southwest,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-25,BASN,Western Electricity Coordinating Council / Basin,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-24,RMRG,Western Electricity Coordinating Council / Rockies,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-10,PJME,PJM / East,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-11,PJMW,PJM / West,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-14,SRCA,SERC Reliability Corporation / East,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-15,SRSE,SERC Reliability Corporation / Southeastern,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-12,PJMC,PJM / Commonwealth Edison,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-16,SRCE,SERC Reliability Corporation / Central,AEO2025 High Oil Price,1.0,Industrial
2014,res,5-1,TRE,Texas Reliability Entity,AEO2025 High Oil Price,1.0,Residential
2014,res,5-2,FRCC,Florida Reliability Coordinating Council,AEO2025 High Oil Price,1.0,Residential
2014,res,5-3,MISW,Midcontinent / West,AEO2025 High Oil Price,1.0,Residential
2014,res,5-4,MISC,Midcontinent / Central,AEO2025 High Oil Price,1.0,Residential
2014,ind,5-22,CASO,Western Electricity Coordinating Council / California South,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-23,NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-17,SPPS,Southwest Power Pool / South,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-18,SPPC,Southwest Power Pool / Central,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-19,SPPN,Southwest Power Pool / North,AEO2025 High Oil Price,1.0,Industrial
2014,trans,5-10,PJME,PJM / East,AEO2025 High Oil Price,1.0,Transportation
2014,trans,5-11,PJMW,PJM / West,AEO2025 High Oil Price,1.0,Transportation
2014,trans,5-12,PJMC,PJM / Commonwealth Edison,AEO2025 High Oil Price,1.0,Transportation
2014,res,5-12,PJMC,PJM / Commonwealth Edison,AEO2025 High Oil Price,1.0,Residential
2014,com,5-7,ISNE,Northeast Power Coordinating Council / New England,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-8,NYCW,Northeast Power Coordinating Council / New York City and Long Island,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-11,PJMW,PJM / West,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-12,PJMC,PJM / Commonwealth Edison,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-9,NYUP,Northeast Power Coordinating Council / Upstate New York,AEO2025 High Oil Price,1.0,Commercial
2014,trans,5-4,MISC,Midcontinent / Central,AEO2025 High Oil Price,1.0,Transportation
2014,res,5-13,PJMD,PJM / Dominion,AEO2025 High Oil Price,1.0,Residential
2014,trans,5-5,MISE,Midcontinent / East,AEO2025 High Oil Price,1.0,Transportation
2014,com,5-10,PJME,PJM / East,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-13,PJMD,PJM / Dominion,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-14,SRCA,SERC Reliability Corporation / East,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-15,SRSE,SERC Reliability Corporation / Southeastern,AEO2025 High Oil Price,1.0,Commercial
2014,com,5-3,MISW,Midcontinent / West,AEO2025 High Oil Price,1.0,Commercial
2014,res,5-11,PJMW,PJM / West,AEO2025 High Oil Price,1.0,Residential
2014,ind,5-13,PJMD,PJM / Dominion,AEO2025 High Oil Price,1.0,Industrial
2014,trans,5-3,MISW,Midcontinent / West,AEO2025 High Oil Price,1.0,Transportation
2014,res,5-10,PJME,PJM / East,AEO2025 High Oil Price,1.0,Residential
2014,ind,5-6,MISS,Midcontinent / South,AEO2025 High Oil Price,1.0,Industrial
2014,ind,5-7,ISNE,Northeast Power Coordinating Council / New England,AEO2025 High Oil Price,1.0,Industrial
2014,res,5-23,NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,AEO2025 High Oil Price,1.0,Residential
2014,trans,5-15,SRSE,SERC Reliability Corporation / Southeastern,AEO2025 High Oil Price,1.0,Transportation
2014,trans,5-16,SRCE,SERC Reliability Corporation / Central,AEO2025 High Oil Price,1.0,Transportation
2014,trans,5-13,PJMD,PJM / Dominion,AEO2025 High Oil Price,1.0,Transportation
2014,trans,5-14,SRCA,SERC Reliability Corporation / East,AEO2025 High Oil Price,1.0,Transportation
