year,tech,system_capex_per_kw_res,system_capex_per_kw_nonres,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2015,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2016,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2017,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2018,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2019,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2020,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2021,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2022,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2023,"pv,batt",2682.1846272586527,1845.2278596640967,644.8550160075841,697.8304228995938,338.7313445206362,1157.490658744144,8458.154290574084,219271.0337546971,100.03997052583428,0.0,65.85583194503802,0.0,0.174,1
2024,"pv,batt",2659.211491853118,1831.720277841571,649.4611232647813,702.8149259203057,298.1570582321376,1080.4849301125123,8518.569678363887,243547.90195419645,100.7545417438759,0.0,60.21043882539041,0.0,0.174,1
2025,"pv,batt",2636.238356447583,1818.212696019045,640.2489087503874,692.845919878883,293.9278801011855,1065.15890273503,8397.738902784256,240093.3217846329,99.32539930779258,0.0,59.35639004772531,0.0,0.174,1
2026,"pv,batt",2613.2652210420483,1804.7051141965196,616.2971510129631,666.9265041711836,282.9320169607094,1025.311231553576,8083.578886277221,231111.41334376947,95.60962897397587,0.0,57.13586322579603,0.0,0.174,1
2027,"pv,batt",2590.292085636513,1791.1975323739937,592.3453932755383,641.0070884634846,271.9361538202336,985.4635603721214,7769.418869770186,222129.50490290512,91.8938586401592,0.0,54.915336403866746,0.0,0.174,1
